# number of photons to be run per band/weight
# (Kato et al., optimized tables, solar)
# THIS IS JUST A DUMMY TO GET MYSTIC RUNNING; 
1 1 1 1 1 0.00666666666666666667
2 1 1 1 1 0.00666666666666666667
3 1 1 1 1 0.00666666666666666667
4 1 1 1 1 0.00666666666666666667
5 1 1 1 1 0.00666666666666666667
6 1 1 1 1 0.00666666666666666667
7 1 1 1 1 0.00666666666666666667
8 1 1 1 1 0.00666666666666666667
9 1 1 1 1 0.00666666666666666667
10 1 1 1 1 0.00666666666666666667
11 1 1 1 1 0.00666666666666666667
12 1 1 1 1 0.00666666666666666667
12 1 1 1 2 0.00666666666666666667
12 1 1 1 3 0.00666666666666666667
12 1 1 1 4 0.00666666666666666667
12 1 1 1 5 0.00666666666666666667
12 1 1 1 6 0.00666666666666666667
13 1 1 1 1 0.00666666666666666667
14 1 1 1 1 0.00666666666666666667
14 1 1 1 2 0.00666666666666666667
14 1 1 1 3 0.00666666666666666667
14 1 1 1 4 0.00666666666666666667
14 1 1 1 5 0.00666666666666666667
15 1 1 1 1 0.00666666666666666667
16 1 1 1 1 0.00666666666666666667
16 1 1 1 2 0.00666666666666666667
16 1 1 1 3 0.00666666666666666667
16 1 1 1 4 0.00666666666666666667
16 1 1 1 5 0.00666666666666666667
16 1 1 1 6 0.00666666666666666667
17 1 1 1 1 0.00666666666666666667
17 1 1 1 2 0.00666666666666666667
17 1 1 1 3 0.00666666666666666667
17 1 1 1 4 0.00666666666666666667
17 1 1 1 5 0.00666666666666666667
17 1 1 1 6 0.00666666666666666667
18 1 1 1 1 0.00666666666666666667
18 1 1 2 1 0.00666666666666666667
18 1 1 3 1 0.00666666666666666667
18 1 1 4 1 0.00666666666666666667
18 1 1 5 1 0.00666666666666666667
18 1 1 6 1 0.00666666666666666667
19 1 1 1 1 0.00666666666666666667
19 1 1 1 2 0.00666666666666666667
19 1 1 1 3 0.00666666666666666667
19 1 1 1 4 0.00666666666666666667
19 1 1 1 5 0.00666666666666666667
19 1 1 1 6 0.00666666666666666667
20 1 1 1 1 0.00666666666666666667
20 1 1 1 2 0.00666666666666666667
20 1 1 1 3 0.00666666666666666667
20 1 1 1 4 0.00666666666666666667
20 1 1 1 5 0.00666666666666666667
20 1 1 1 6 0.00666666666666666667
21 1 1 1 1 0.00666666666666666667
21 1 1 1 2 0.00666666666666666667
21 1 1 1 3 0.00666666666666666667
21 1 1 1 4 0.00666666666666666667
21 1 1 1 5 0.00666666666666666667
21 1 1 1 6 0.00666666666666666667
21 1 1 1 7 0.00666666666666666667
22 1 1 1 1 0.00666666666666666667
22 1 1 1 2 0.00666666666666666667
22 1 1 1 3 0.00666666666666666667
22 1 1 1 4 0.00666666666666666667
22 1 1 1 5 0.00666666666666666667
22 1 1 1 6 0.00666666666666666667
23 1 1 1 1 0.00666666666666666667
23 1 1 1 2 0.00666666666666666667
23 1 1 1 3 0.00666666666666666667
23 1 1 1 4 0.00666666666666666667
23 1 1 1 5 0.00666666666666666667
23 1 1 1 6 0.00666666666666666667
23 1 1 1 7 0.00666666666666666667
24 1 1 1 1 0.00666666666666666667
24 1 1 1 2 0.00666666666666666667
24 1 1 1 3 0.00666666666666666667
24 1 1 1 4 0.00666666666666666667
24 1 1 1 5 0.00666666666666666667
24 1 1 1 6 0.00666666666666666667
24 1 1 1 7 0.00666666666666666667
24 1 1 1 8 0.00666666666666666667
25 1 1 1 1 0.00666666666666666667
25 1 1 1 2 0.00666666666666666667
25 1 1 1 3 0.00666666666666666667
25 1 1 1 4 0.00666666666666666667
25 1 1 1 5 0.00666666666666666667
25 1 1 1 6 0.00666666666666666667
26 1 1 1 1 0.00666666666666666667
26 1 1 1 2 0.00666666666666666667
26 1 1 1 3 0.00666666666666666667
26 1 1 1 4 0.00666666666666666667
26 1 1 1 5 0.00666666666666666667
26 1 1 1 6 0.00666666666666666667
26 1 1 1 7 0.00666666666666666667
26 1 1 1 8 0.00666666666666666667
26 1 1 1 9 0.00666666666666666667
26 1 1 1 10 0.00666666666666666667
26 1 1 1 11 0.00666666666666666667
