# number of photons to be run per band/weight
# (Kato et al., optimized tables, solar)
# THIS IS JUST A DUMMY TO GET MYSTIC RUNNING; 
1 1 1 1 1 0.00675675675675676
2 1 1 1 1 0.00675675675675676
3 1 1 1 1 0.00675675675675676
4 1 1 1 1 0.00675675675675676
5 1 1 1 1 0.00675675675675676
6 1 1 1 1 0.00675675675675676
7 1 1 1 1 0.00675675675675676
8 1 1 1 1 0.00675675675675676
9 1 1 1 1 0.00675675675675676
10 1 1 1 1 0.00675675675675676
11 1 1 1 1 0.00675675675675676
12 1 1 1 1 0.00675675675675676
12 1 1 1 2 0.00675675675675676
12 1 1 1 3 0.00675675675675676
12 1 1 1 4 0.00675675675675676
12 1 1 1 5 0.00675675675675676
12 1 1 1 6 0.00675675675675676
13 1 1 1 1 0.00675675675675676
14 1 1 1 1 0.00675675675675676
14 1 1 1 2 0.00675675675675676
14 1 1 1 3 0.00675675675675676
14 1 1 1 4 0.00675675675675676
14 1 1 1 5 0.00675675675675676
15 1 1 1 1 0.00675675675675676
16 1 1 1 1 0.00675675675675676
16 1 1 1 2 0.00675675675675676
16 1 1 1 3 0.00675675675675676
16 1 1 1 4 0.00675675675675676
16 1 1 1 5 0.00675675675675676
16 1 1 1 6 0.00675675675675676
17 1 1 1 1 0.00675675675675676
17 1 1 1 2 0.00675675675675676
17 1 1 1 3 0.00675675675675676
17 1 1 1 4 0.00675675675675676
17 1 1 1 5 0.00675675675675676
17 1 1 1 6 0.00675675675675676
18 1 1 1 1 0.00675675675675676
18 1 1 2 1 0.00675675675675676
18 1 1 3 1 0.00675675675675676
18 1 1 4 1 0.00675675675675676
18 1 1 5 1 0.00675675675675676
18 1 1 6 1 0.00675675675675676
19 1 1 1 1 0.00675675675675676
19 1 1 1 2 0.00675675675675676
19 1 1 1 3 0.00675675675675676
19 1 1 1 4 0.00675675675675676
19 1 1 1 5 0.00675675675675676
19 1 1 1 6 0.00675675675675676
20 1 1 1 1 0.00675675675675676
20 1 1 1 2 0.00675675675675676
20 1 1 1 3 0.00675675675675676
20 1 1 1 4 0.00675675675675676
20 1 1 1 5 0.00675675675675676
20 1 1 1 6 0.00675675675675676
21 1 1 1 1 0.00675675675675676
21 1 1 1 2 0.00675675675675676
21 1 1 1 3 0.00675675675675676
21 1 1 1 4 0.00675675675675676
21 1 1 1 5 0.00675675675675676
21 1 1 1 6 0.00675675675675676
21 1 1 1 7 0.00675675675675676
22 1 1 1 1 0.00675675675675676
22 1 1 1 2 0.00675675675675676
22 1 1 1 3 0.00675675675675676
22 1 1 1 4 0.00675675675675676
22 1 1 1 5 0.00675675675675676
22 1 1 1 6 0.00675675675675676
23 1 1 1 1 0.00675675675675676
23 1 1 1 2 0.00675675675675676
23 1 1 1 3 0.00675675675675676
23 1 1 1 4 0.00675675675675676
23 1 1 1 5 0.00675675675675676
23 1 1 1 6 0.00675675675675676
23 1 1 1 7 0.00675675675675676
24 1 1 1 1 0.00675675675675676
24 1 1 1 2 0.00675675675675676
24 1 1 1 3 0.00675675675675676
24 1 1 1 4 0.00675675675675676
24 1 1 1 5 0.00675675675675676
24 1 1 1 6 0.00675675675675676
24 1 1 1 7 0.00675675675675676
24 1 1 1 8 0.00675675675675676
25 1 1 1 1 0.00675675675675676
25 1 1 1 2 0.00675675675675676
25 1 1 1 3 0.00675675675675676
25 1 1 1 4 0.00675675675675676
25 1 1 1 5 0.00675675675675676
25 1 1 1 6 0.00675675675675676
26 1 1 1 1 0.00675675675675676
26 1 1 1 2 0.00675675675675676
26 1 1 1 3 0.00675675675675676
26 1 1 1 4 0.00675675675675676
26 1 1 1 5 0.00675675675675676
26 1 1 1 6 0.00675675675675676
26 1 1 1 7 0.00675675675675676
26 1 1 1 8 0.00675675675675676
26 1 1 1 9 0.00675675675675676
26 1 1 1 10 0.00675675675675676
26 1 1 1 11 0.00675675675675676
27 1 1 1 1 0.00675675675675676
27 1 1 1 2 0.00675675675675676
27 1 1 1 3 0.00675675675675676
27 1 1 1 4 0.00675675675675676
27 1 1 1 5 0.00675675675675676
27 1 1 1 6 0.00675675675675676
28 1 1 1 1 0.00675675675675676
28 1 1 1 2 0.00675675675675676
28 1 1 1 3 0.00675675675675676
28 1 1 1 4 0.00675675675675676
28 1 1 1 5 0.00675675675675676
28 1 1 1 6 0.00675675675675676
28 1 1 1 7 0.00675675675675676
29 1 1 1 1 0.00675675675675676
29 1 1 1 2 0.00675675675675676
29 1 1 1 3 0.00675675675675676
29 1 1 1 4 0.00675675675675676
29 1 1 1 5 0.00675675675675676
29 1 1 1 6 0.00675675675675676
29 1 1 1 7 0.00675675675675676
29 1 1 1 8 0.00675675675675676
29 1 1 1 9 0.00675675675675676
30 1 1 1 1 0.00675675675675676
30 1 1 1 2 0.00675675675675676
30 1 1 1 3 0.00675675675675676
30 1 1 1 4 0.00675675675675676
30 1 1 1 5 0.00675675675675676
30 1 1 1 6 0.00675675675675676
30 1 1 1 7 0.00675675675675676
30 1 1 1 8 0.00675675675675676
31 1 1 1 1 0.00675675675675676
31 1 1 1 2 0.00675675675675676
31 1 1 1 3 0.00675675675675676
31 1 1 1 4 0.00675675675675676
32 1 1 1 1 0.00675675675675676
32 1 1 1 2 0.00675675675675676
32 1 1 1 3 0.00675675675675676
32 1 1 1 4 0.00675675675675676
32 1 1 1 5 0.00675675675675676
32 1 1 1 6 0.00675675675675676
32 1 1 1 7 0.00675675675675676
32 1 1 1 8 0.00675675675675676
32 1 1 1 9 0.00675675675675676
32 1 1 1 10 0.00675675675675676
32 1 1 1 11 0.00675675675675676
32 1 1 1 12 0.00675675675675676
32 1 1 1 13 0.00675675675675676
32 1 1 1 14 0.00675675675675676
32 1 1 1 15 0.00675675675675676
