# number of photons to be run per band/weight
# (AVHRR, Kratz, thermal);
  1   1  0.000e+00
  1   2  0.000e+00
  2   1  0.000e+00
  2   2  0.000e+00
  2   3  0.000e+00
  3   1  0.000e+00
  4   1  0.000e+00
  4   2  0.000e+00
  4   3  0.000e+00
  4   4  0.000e+00
  4   5  0.000e+00
  4   6  0.000e+00
  4   7  0.000e+00
  4   8  0.000e+00
  4   9  0.000e+00
  5   1  0.000e+00
  5   2  0.000e+00
  5   3  0.000e+00
  5   4  0.000e+00
  5   5  0.000e+00
  5   6  0.000e+00
  5   7  0.000e+00
  5   8  0.000e+00
  5   9  0.000e+00
  5  10  0.000e+00
  5  11  0.000e+00
  5  12  0.000e+00
  6   1  0.000e+00
  6   2  0.000e+00
  6   3  0.000e+00
  6   4  0.000e+00
  6   5  0.000e+00
  7   1  0.000e+00
  7   2  0.000e+00
  7   3  0.000e+00
  7   4  0.000e+00
  7   5  0.000e+00
  7   6  0.000e+00
  8   1  0.000e+00
  8   2  0.000e+00
  8   3  0.000e+00
  8   4  0.000e+00
  8   5  0.000e+00
  9   1  0.000e+00
  9   2  0.000e+00
  9   3  0.000e+00
  9   4  0.000e+00
 10   1 0.0151515151515152
 10   2 0.0151515151515152
 10   3 0.0151515151515152
 10   4 0.0151515151515152
 11   1 0.0151515151515152
 11   2 0.0151515151515152
 11   3 0.0151515151515152
 11   4 0.0151515151515152
 12   1 0.0151515151515152
 12   2 0.0151515151515152
 12   3 0.0151515151515152
 12   4 0.0151515151515152
 13   1 0.0151515151515152
 13   2 0.0151515151515152
 13   3 0.0151515151515152
 13   4 0.0151515151515152
 13   5 0.0151515151515152
 13   6 0.0151515151515152
 13   7 0.0151515151515152
 13   8 0.0151515151515152
 13   9 0.0151515151515152
 13  10 0.0151515151515152
 13  11 0.0151515151515152
 13  12 0.0151515151515152
 14   1 0.0151515151515152
 14   2 0.0151515151515152
 14   3 0.0151515151515152
 14   4 0.0151515151515152
 14   5 0.0151515151515152
 14   6 0.0151515151515152
 14   7 0.0151515151515152
 14   8 0.0151515151515152
 14   9 0.0151515151515152
 14  10 0.0151515151515152
 14  11 0.0151515151515152
 14  12 0.0151515151515152
 15   1 0.0151515151515152
 15   2 0.0151515151515152
 15   3 0.0151515151515152
 15   4 0.0151515151515152
 15   5 0.0151515151515152
 15   6 0.0151515151515152
 15   7 0.0151515151515152
 15   8 0.0151515151515152
 15   9 0.0151515151515152
 15  10 0.0151515151515152
 15  11 0.0151515151515152
 15  12 0.0151515151515152
 15  13 0.0151515151515152
 15  14 0.0151515151515152
 15  15 0.0151515151515152
 15  16 0.0151515151515152
 15  17 0.0151515151515152
 15  18 0.0151515151515152
 15  19 0.0151515151515152
 15  20 0.0151515151515152
 16   1 0.0151515151515152
 16   2 0.0151515151515152
 16   3 0.0151515151515152
 16   4 0.0151515151515152
 16   5 0.0151515151515152
 16   6 0.0151515151515152
 16   7 0.0151515151515152
 16   8 0.0151515151515152
 16   9 0.0151515151515152
 16  10 0.0151515151515152
